"Date","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
2007-01-03,200.600006103516,203.320007324219,197.820007324219,200.720001220703,6494900,150.398422241211
2007-01-04,200.220001220703,200.669998168945,198.070007324219,198.850006103516,6460200,148.997314453125
2007-01-05,198.429992675781,200,197.899993896484,199.050003051758,5892900,149.147079467773
2007-01-08,199.050003051758,203.949996948242,198.100006103516,203.729995727539,7851000,152.65380859375
2007-01-09,203.539993286133,204.899993896484,202,204.080001831055,7147100,152.916046142578
2007-01-10,203.399993896484,208.440002441406,201.5,208.110000610352,8025700,155.935729980469
2007-01-11,208.339996337891,213.169998168945,207.600006103516,211.880004882812,9039400,158.760543823242
2007-01-12,210.899993896484,214.220001220703,210.399993896484,213.990005493164,6618900,160.341613769531
2007-01-16,210.850006103516,215.130004882812,210.850006103516,213.589996337891,5846600,160.041809082031
2007-01-17,212.199996948242,214.089996337891,210.850006103516,213.229995727539,5306300,159.772079467773
2007-01-18,213.75,214.809997558594,209.100006103516,209.679992675781,6423200,157.11213684082
2007-01-19,209.080001831055,211.440002441406,208.839996337891,210.289993286133,5333700,157.832595825195
2007-01-22,211.089996337891,213.25,209.600006103516,212.970001220703,4980700,159.84407043457
2007-01-23,212.820007324219,213.419998168945,210.649993896484,212.639999389648,6293400,159.596435546875
2007-01-24,213.509994506836,220.169998168945,213.029998779297,220.100006103516,6386800,165.195510864258
2007-01-25,219.830001831055,220.509994506836,212.509994506836,213.070007324219,7853800,159.919143676758
2007-01-26,214.559997558594,214.899993896484,210.600006103516,213.5,7458200,160.241912841797
2007-01-29,213.899993896484,215.080001831055,210.130004882812,211.039993286133,5890700,158.395492553711
2007-01-30,211.080001831055,212.309997558594,208.369995117188,208.779998779297,6001000,156.699249267578
2007-01-31,208.300003051758,212.75,207.289993286133,212.160003662109,7235100,159.236145019531
2007-02-01,213.440002441406,213.899993896484,209.729995727539,212,5734500,159.116073608398
2007-02-02,211,213.899993896484,211,213.429992675781,3527000,160.189376831055
2007-02-05,213.300003051758,213.720001220703,211.5,212.550003051758,2995700,159.528869628906
2007-02-06,213.289993286133,215.860000610352,212.699996948242,214.649993896484,3803100,161.105010986328
2007-02-07,215.029998779297,215.850006103516,213.100006103516,213.550003051758,3621700,160.279434204102
2007-02-08,212.089996337891,215.210006713867,209.809997558594,213.899993896484,5410500,160.542053222656
2007-02-09,215.770004272461,219.259994506836,210.580001831055,213.279998779297,9109300,160.076751708984
2007-02-12,213.75,214,209.869995117188,211.130004882812,5384400,158.463027954102
2007-02-13,211.979995727539,213.300003051758,210.470001220703,212.529998779297,4022000,159.513793945312
2007-02-14,213.699996948242,219.100006103516,212.789993286133,217.399993896484,7696400,163.169021606445
2007-02-15,217.940002441406,218.839996337891,216.410003662109,216.820007324219,3627200,162.733703613281
2007-02-16,215.960006713867,217.5,215.020004272461,216.919998168945,3118500,162.808700561523
2007-02-20,218.330001831055,221.899993896484,215.970001220703,220.940002441406,6225500,165.825927734375
2007-02-21,219.25,221.5,218.160003662109,220.149993896484,5225500,165.232986450195
2007-02-22,221,222.75,218,218.970001220703,4273400,164.34733581543
2007-02-23,219.160003662109,219.800003051758,215.550003051758,216.5,5507400,162.493576049805
2007-02-26,217.990005493164,218.369995117188,212.660003662109,214,5552700,160.617202758789
2007-02-27,209.75,210.399993896484,194.649993896484,196,18817600,147.107299804688
2007-02-28,200.399993896484,203.850006103516,197.789993286133,201.75,15940000,151.422958374023
2007-03-01,197.119995117188,202.699996948242,194.080001831055,199.660003662109,14141300,149.854232788086
2007-03-02,198.199996948242,200.919998168945,195.589996337891,195.669998168945,9842200,146.859603881836
2007-03-05,193.550003051758,197.490005493164,189.850006103516,190,13391800,142.604064941406
2007-03-06,193.899993896484,198.199996948242,193.699996948242,197.369995117188,10796300,148.135437011719
2007-03-07,197.479995727539,199,195.5,195.589996337891,8459500,146.799560546875
2007-03-08,198.029998779297,202.020004272461,198,199.940002441406,10789400,150.064483642578
2007-03-09,202.949996948242,202.990005493164,198.860000610352,201.699996948242,7676900,151.385391235352
2007-03-12,200,202.889999389648,198.860000610352,202.600006103516,9623200,152.060928344727
2007-03-13,204.960006713867,208.559997558594,198.520004272461,199.029998779297,31973100,149.381484985352
2007-03-14,200,202.160003662109,197.539993286133,200.149993896484,20394300,150.22216796875
2007-03-15,200,202.369995117188,199.5,200.889999389648,9741600,150.77751159668
2007-03-16,200.789993286133,201.050003051758,198.270004272461,199,10875200,149.358978271484
2007-03-19,201.320007324219,202.5,200.440002441406,202.440002441406,8186200,151.940765380859
2007-03-20,202.490005493164,204.429992675781,202,204,6641900,153.111694335938
2007-03-21,205.339996337891,211.509994506836,204.160003662109,210.949996948242,10934100,158.328002929688
2007-03-22,211.699996948242,211.75,209.289993286133,210.080001831055,8016100,157.675033569336
2007-03-23,210.059997558594,211.889999389648,209.710006713867,211.889999389648,5106800,159.033477783203
